source,target
33399,884
1271122,3
105042,2778
1271081,3
15899,7399
3,47401
1206190,1736
10676,3084
2847710,3
1009367,1331
15899,33613
146253,97823
1249557,65717
1739,4017143
1331,4007360
226366,2507550
1313,1331
122260,18471
2173025,226366
2870,3087
1245,2517
2975,40839
12791,1844
1931888,19742
226366,5113257
1331,1383
107322,1299610
226366,298410
1180936,210773
1446043,1736
183640,52057
1028454,1245
4854343,8655
1407498,2413513
15899,4799221
12147,3084
1223082,1245
3,47520
5313721,65717
1348591,1713725
128,1331
1407498,1523704
1348591,1517267
1214573,19742
1000883,18471
1019,1442708
1107983,2855535
19742,1988433
13301,2888
13301,44549
226366,2504601
1407498,206100
1331,2082718
13784,3084
57799,9380
162522,226366
1041787,52057
1288731,1407498
19742,2694263
1245,1580574
3,500
15899,1716724
2975,9384
1407495,3931769
116884,13301
52057,73351
18471,4570
58635,74611
1739,590220
215157,884
2975,3165802
15854,52057
118372,4425477
1212053,14320
1225443,3084
3264453,7202
13301,76142
18471,2191244
